연번,훈련기관명,훈련기관위치,주소,위도,경도,훈련기관계열구분
5385,김해컴퓨터학원,경남 김해시,(50938) 경상남도 김해시 분성로 230 (외동) 501호 502호 503호(리버에비뉴),128.8717199,35.23110085,
5386,미즈요양보호사교육원,충북 청주시 서원구,(28647) 충청북도 청주시 서원구 사직대로 128 4층(일부),127.4615392,36.63468746,
5387,동현요양보호사교육원,경기 의정부시,(11686) 경기도 의정부시 평화로 635 2층 206호,127.0449549,37.74881609,
5388,빛가람컴퓨터학원,전남 나주시,(58325) 전라남도 나주시 그린로 351 아주드림타워 203호,126.7936994,35.01792018,
5389,(주)서희건설,경기 성남시 분당구,"(13595) 경기도 성남시 분당구 수내로46번길 4 (수내동, 경동빌딩4층)",127.1170212,37.38067183,
5390,렛츠헤어뷰티아카데미학원,광주 남구,(61637) 광주광역시 남구 서동 서동로 4(은성빌딩A) 3층 렛츠헤어뷰티아카데미학원,126.9037694,35.1445478,
5391,증산나누리간호학원,경남 양산시,(50653) 경상남도 양산시 증산역로 163 7층 703호 일부,129.0079213,35.30959145,
5392,화정바리스타학원,경기 고양시 덕양구,(10500) 경기도 고양시 덕양구 화신로260번길 58 404호 화정바리스타학원,126.8334237,37.63313528,
5393,모두의요리아카데미,경기 수원시 영통구,"(16705) 경기도 수원시 영통구 영통동 청명남로28번길 2(아이텐텐빌딩) 601, 601-1",127.0754936,37.25179551,
5394,바이두룸가죽공예학원,부산 수영구,(48255) 부산광역시 수영구 광안동 장대골로7번길 27(금성상가주택) B동 202호,129.1123581,35.15774875,
5395,아이비알뷰티미용학원,경기 수원시 팔달구,(16461) 경기도 수원시 팔달구 덕영대로 923-10 (매산로1가 비젼포에버) 413~423호,127.0018899,37.26607206,
5396,주식회사청주드론교육원,충북 청주시 청원구,(28354) 충청북도 청주시 청원구 2순환로 466 (사천동) 2층/이론:내수읍 덕암길10/실기:내수읍 세교리 385-1,127.469418,36.66928669,
5397,공생재활원,전남 목포시,(58618) 전라남도 목포시 대양로 14-24 공생재활원,126.379764,34.82099463,
5398,도트커피 바리스타학원,부산 동래구,(47814) 부산광역시 동래구 충렬대로 225 (수안동 엘빌딩) 5층,,,
